nota_fiscal;estabelecimento;pn_fornecedor;descricao_fornecedor;data_fiscal;item;numero_processo;Contrato;status_do_contrato;vencimento;depto_de_compras;quantidade_unidade_estoque;preco_total_linha;cond.pagamento;departamento;família;gestão;curva
5187;VIES;070076248;VERO IT SOLUC.TEC.INFORM.LTDA;14/02/2025;DCSR00010710;OC0044591;CS0000921;Ativo;31/03/2050;VIESAD;390;390;30 DIAS;TI;SERVIÇOS PRESTADOS;ADMINISTRATIVO;B
3113;VIES;070076360;LADEIRA E WESSELY ENG.AUT.LTDA;14/02/2025;DCSR00070109;OC0044588;CS0001077;Concluído;31/10/2025;VIESFB;13832;13832;30 DIAS;RECURSOS HUMANOS;TERCEIROS ;ADMINISTRATIVO;B
268361;SRS;070076106;ANDRADE E L. TELECOMUNIC. LTDA;14/02/2025;DCSR99999905;OC0044822;CS0000983;Ativo;31/03/2050;SRSADM;1633,45;1633,45;30 DIAS;TI;COMUNICAÇÃO;ADMINISTRATIVO;B
97844;SRS;090010296;ABC 71 SOLUCOES EM INFOR. LTDA;14/02/2025;DCSR00010517;OC0044813;CS0000984;Ativo;31/03/2050;SRSADM;1884,23;1884,23;30 DIAS;TI;SERVIÇOS PRESTADOS;ADMINISTRATIVO;Indef
91008;VIES;090010398;WHIRLPOOL S.A;14/02/2025;DCSR00030403;OC0044933;CS0000776;Ativo;30/05/2026;VIESFB;1;720,12;30 DIAS;MANUFATURA VIES;LOCAÇÕES EQUIPAMENTOS / VEÍCULOS;INDUSTRIAL VIES;C
6479;VIES;070091935;ATT CORREIA LTDA;14/02/2025;DCSR00070916;OC0044850;CS0001089;Concluído;30/03/2027;VIESFB;1;470;30 DIAS;MANUFATURA VIES;SERVIÇOS PRESTADOS;INDUSTRIAL VIES;C
476114;VIES;070075717;COMPANHIA BRAS SOLUCOES E SERV;14/02/2025;DCSR00100206;OC0044912;CS0000942;Concluído;31/03/2050;VIESAD;910,15;910,15;30 DIAS;;;ADMINISTRATIVO;C
501632;VIES;070075717;COMPANHIA BRAS SOLUCOES E SERV;14/02/2025;DCSR00100206;OC0044912;CS0000942;Concluído;31/03/2050;VIESAD;3800;3800;30 DIAS;;;ADMINISTRATIVO;C
34410023;SRS;070091173;FCA RENTAL LOCADORA DE AUTOMOVEIS;14/02/2025;DCSR99999902;OC0044972;CS0001034;Concluído;31/10/2024;VIESAD;76,23;76,23;30 DIAS;;;SUPPLY;A
1199;VIES;090008323;EROMOLD IND.COM.PLASTICOS LTDA;14/02/2025;DCSR00140507;OC0044788;CS0000842;Ativo;04/04/2027;VIESFB;1;1200;45 DIAS;MANUFATURA VIES;MANUTENÇÃO FERRAMENTAIS;INDUSTRIAL VIES;C
